"","another"
"option",0.17
"will",0.15
"even",0.14
"ask",0.13
"find",0.13
"usually",0.13
"better",0.12
"cost",0.12
"go",0.12
"like",0.12
"make",0.12
"may",0.12
"offer",0.12
"one",0.12
"pay",0.12
"try",0.12
"want",0.12
"always",0.11
"bit",0.11
"can",0.11
"cheap",0.11
"different",0.11
"driver",0.11
"especially",0.11
"expensive",0.11
"get",0.11
"getting",0.11
"good",0.11
"look",0.11
"often",0.11
"people",0.11
"price",0.11
"take",0.11
"time",0.11
"use",0.11
"way",0.11
"without",0.11
"'re",0.1
"almost",0.1
"also",0.1
"although",0.1
"avoid",0.1
"buy",0.1
"called",0.1
"cheaper",0.1
"check",0.1
"common",0.1
"depending",0.1
"drivers",0.1
"give",0.1
"going",0.1
"hotels",0.1
"keep",0.1
"least",0.1
"might",0.1
"money",0.1
"much",0.1
"need",0.1
"places",0.1
"quite",0.1
"right",0.1
"serve",0.1
"sure",0.1
"taxi",0.1
"taxis",0.1
"though",0.1
"ticket",0.1
"travel",0.1
"'s",0.09
"able",0.09
"among",0.09
"around",0.09
"back",0.09
"best",0.09
"bus",0.09
"cards",0.09
"compared",0.09
"costs",0.09
"english",0.09
"expect",0.09
"far",0.09
"foreign",0.09
"found",0.09
"generally",0.09
"higher",0.09
"inside",0.09
"just",0.09
"less",0.09
"locals",0.09
"must",0.09
"note",0.09
"parts",0.09
"place",0.09
"police",0.09
"prices",0.09
"see",0.09
"sometimes",0.09
"still",0.09
"tourists",0.09
"used",0.09
"well",0.09
"widely",0.09
"work",0.09
"'ll",0.08
"amount",0.08
"aware",0.08
"become",0.08
"behind",0.08
"buses",0.08
"certain",0.08
"charge",0.08
"cities",0.08
"come",0.08
"countries",0.08
"crowded",0.08
"dish",0.08
"dishes",0.08
"done",0.08
"drink",0.08
"enter",0.08
"exchange",0.08
"extremely",0.08
"fare",0.08
"fixed",0.08
"food",0.08
"fruit",0.08
"gets",0.08
"insist",0.08
"know",0.08
"left",0.08
"lot",0.08
"made",0.08
"many",0.08
"mind",0.08
"modern",0.08
"mostly",0.08
"near",0.08
"next",0.08
"night",0.08
"offices",0.08
"options",0.08
"others",0.08
"outside",0.08
"paying",0.08
"plan",0.08
"popular",0.08
"probably",0.08
"rather",0.08
"reach",0.08
"remember",0.08
"rice",0.08
"ride",0.08
"sell",0.08
"side",0.08
"sign",0.08
"simply",0.08
"since",0.08
"smaller",0.08
"sold",0.08
"speak",0.08
"start",0.08
"stay",0.08
"staying",0.08
"stop",0.08
"takes",0.08
"taking",0.08
"tend",0.08
"three",0.08
"tickets",0.08
"top",0.08
"trip",0.08
"two",0.08
"unless",0.08
"using",0.08
"visa",0.08
"visiting",0.08
"wait",0.08
"whole",0.08
"worth",0.08
"yet",0.08
"accept",0.07
"already",0.07
"anything",0.07
"areas",0.07
"arrival",0.07
"asked",0.07
"asking",0.07
"away",0.07
"beer",0.07
"big",0.07
"book",0.07
"budget",0.07
"buying",0.07
"citizens",0.07
"companies",0.07
"consider",0.07
"currency",0.07
"departure",0.07
"drinking",0.07
"due",0.07
"either",0.07
"entrance",0.07
"fast",0.07
"feel",0.07
"first",0.07
"floor",0.07
"hard",0.07
"highly",0.07
"later",0.07
"leave",0.07
"likely",0.07
"little",0.07
"meat",0.07
"nice",0.07
"normally",0.07
"number",0.07
"official",0.07
"ones",0.07
"passport",0.07
"phones",0.07
"possible",0.07
"prepaid",0.07
"problem",0.07
"rate",0.07
"really",0.07
"relatively",0.07
"rest",0.07
"safe",0.07
"say",0.07
"similar",0.07
"someone",0.07
"sweet",0.07
"things",0.07
"till",0.07
"visit",0.07
"waiting",0.07
"water",0.07
