"","cover"
"charge",0.12
"especially",0.1
"even",0.1
"insurance",0.1
"usually",0.1
"wear",0.1
"avoid",0.09
"cheaper",0.09
"currency",0.09
"drivers",0.09
"enough",0.09
"expect",0.09
"pay",0.09
"sold",0.09
"sometimes",0.09
"always",0.08
"apply",0.08
"better",0.08
"card",0.08
"cards",0.08
"certain",0.08
"charges",0.08
"common",0.08
"dress",0.08
"driver",0.08
"english",0.08
"exchange",0.08
"expensive",0.08
"find",0.08
"foreign",0.08
"generally",0.08
"higher",0.08
"holders",0.08
"like",0.08
"make",0.08
"may",0.08
"money",0.08
"must",0.08
"night",0.08
"note",0.08
"often",0.08
"paid",0.08
"payment",0.08
"phones",0.08
"prepaid",0.08
"prices",0.08
"rarely",0.08
"recent",0.08
"sure",0.08
"tend",0.08
"tends",0.08
"time",0.08
"tipping",0.08
"use",0.08
"accepted",0.07
"additional",0.07
"almost",0.07
"although",0.07
"bars",0.07
"case",0.07
"cheap",0.07
"check",0.07
"coins",0.07
"countries",0.07
"dance",0.07
"foreigners",0.07
"keep",0.07
"least",0.07
"limited",0.07
"meat",0.07
"might",0.07
"mind",0.07
"much",0.07
"need",0.07
"official",0.07
"purchase",0.07
"refuse",0.07
"rule",0.07
"taking",0.07
"travel",0.07
"try",0.07
"vary",0.07
"want",0.07
"without",0.07
"women",0.07
"work",0.07
