"","ensure"
"please",0.16
"thoroughly",0.16
"respect",0.15
"clinic",0.13
"damage",0.13
"teaching",0.13
"currency",0.12
"drivers",0.12
"medical",0.12
"require",0.12
"vehicle",0.12
"facilities",0.11
"may",0.11
"need",0.11
"prior",0.11
"someone",0.11
"-line",0.1
"arrival",0.1
"ask",0.1
"aware",0.1
"carry",0.1
"driver",0.1
"insurance",0.1
"offices",0.1
"operators",0.1
"police",0.1
"sim",0.1
"specialist",0.1
"visa",0.1
"wear",0.1
"will",0.1
"women",0.1
"accept",0.09
"allow",0.09
"attention",0.09
"cards",0.09
"check",0.09
"countries",0.09
"coverage",0.09
"elderly",0.09
"emergency",0.09
"exchange",0.09
"expect",0.09
"license",0.09
"mosquito",0.09
"normally",0.09
"note",0.09
"often",0.09
"passport",0.09
"plans",0.09
"sufficient",0.09
"sure",0.09
"ability",0.08
"able",0.08
"advance",0.08
"advised",0.08
"alcohol",0.08
"always",0.08
"available",0.08
"avoid",0.08
"basic",0.08
"cash",0.08
"common",0.08
"customary",0.08
"driver's",0.08
"effective",0.08
"foreign",0.08
"government",0.08
"insist",0.08
"keep",0.08
"law",0.08
"leave",0.08
"limited",0.08
"make",0.08
"mobile",0.08
"money",0.08
"notes",0.08
"obtain",0.08
"official",0.08
"pay",0.08
"paying",0.08
"payment",0.08
"prepaid",0.08
"problems",0.08
"provide",0.08
"rate",0.08
"receive",0.08
"rental",0.08
"required",0.08
"safe",0.08
"safety",0.08
"security",0.08
"shrines",0.08
"time",0.08
"travel",0.08
"unless",0.08
"use",0.08
"usually",0.08
"visas",0.08
"visitors",0.08
"accepted",0.07
"case",0.07
"debit",0.07
"drinking",0.07
"even",0.07
"generally",0.07
"guards",0.07
"health",0.07
"highly",0.07
"however",0.07
"illegal",0.07
"issue",0.07
"know",0.07
"manner",0.07
"paid",0.07
"prices",0.07
"proper",0.07
"provided",0.07
"purchase",0.07
"sense",0.07
"sometimes",0.07
"supplies",0.07
"t-shirts",0.07
"travellers",0.07
