"","since"
"first",0.12
"although",0.11
"always",0.11
"avoid",0.11
"even",0.11
"still",0.11
"used",0.11
"usually",0.11
"almost",0.1
"became",0.1
"become",0.1
"century",0.1
"due",0.1
"especially",0.1
"foreign",0.1
"late",0.1
"least",0.1
"made",0.1
"may",0.1
"people",0.1
"time",0.1
"use",0.1
"years",0.1
"built",0.09
"citizens",0.09
"countries",0.09
"different",0.09
"early",0.09
"ever",0.09
"exchange",0.09
"find",0.09
"known",0.09
"like",0.09
"likely",0.09
"make",0.09
"men",0.09
"might",0.09
"much",0.09
"now",0.09
"often",0.09
"opening",0.09
"security",0.09
"situation",0.09
"ticket",0.09
"without",0.09
"work",0.09
"world",0.09
"'ll",0.08
"among",0.08
"another",0.08
"anything",0.08
"baroque",0.08
"beginning",0.08
"building",0.08
"called",0.08
"card",0.08
"changed",0.08
"check",0.08
"common",0.08
"currency",0.08
"european",0.08
"every",0.08
"existed",0.08
"generally",0.08
"give",0.08
"important",0.08
"keep",0.08
"know",0.08
"language",0.08
"last",0.08
"long",0.08
"means",0.08
"middle",0.08
"money",0.08
"mostly",0.08
"must",0.08
"offer",0.08
"official",0.08
"oldest",0.08
"opened",0.08
"order",0.08
"part",0.08
"police",0.08
"political",0.08
"remember",0.08
"replaced",0.08
"risk",0.08
"safe",0.08
"second",0.08
"sometimes",0.08
"special",0.08
"sure",0.08
"throughout",0.08
"today",0.08
"traffic",0.08
"valid",0.08
"visa",0.08
"working",0.08
"young",0.08
"already",0.07
"aware",0.07
"despite",0.07
"destroyed",0.07
"drivers",0.07
"embassy",0.07
"expensive",0.07
"extremely",0.07
"former",0.07
"found",0.07
"history",0.07
"later",0.07
"military",0.07
"modern",0.07
"need",0.07
"note",0.07
"older",0.07
"one",0.07
"pay",0.07
"prices",0.07
"quite",0.07
"remains",0.07
"strong",0.07
"took",0.07
"war",0.07
"widely",0.07
"will",0.07
