"","majority"
"vast",0.17
"languages",0.15
"common",0.14
"language",0.14
"spoken",0.13
"ethnic",0.12
"exception",0.11
"generally",0.11
"official",0.11
"often",0.11
"population",0.11
"speak",0.11
"avoid",0.1
"citizens",0.1
"countries",0.1
"especially",0.1
"people",0.1
"regions",0.1
"always",0.09
"areas",0.09
"crime",0.09
"despite",0.09
"english",0.09
"even",0.09
"foreign",0.09
"government",0.09
"keep",0.09
"legal",0.09
"usually",0.09
"visa",0.09
"widely",0.09
"almost",0.08
"although",0.08
"bilingual",0.08
"certain",0.08
"cities",0.08
"culture",0.08
"currency",0.08
"drinking",0.08
"drivers",0.08
"extremely",0.08
"greatly",0.08
"hear",0.08
"identity",0.08
"illegal",0.08
"large",0.08
"laws",0.08
"likely",0.08
"major",0.08
"minority",0.08
"much",0.08
"native",0.08
"number",0.08
"parts",0.08
"police",0.08
"politics",0.08
"rarely",0.08
"related",0.08
"relatively",0.08
"republic",0.08
"respect",0.08
"say",0.08
"sometimes",0.08
"tend",0.08
"throughout",0.08
"violent",0.08
"visas",0.08
"widespread",0.08
"among",0.07
"aware",0.07
"bars",0.07
"class",0.07
"due",0.07
"exchange",0.07
"found",0.07
"largest",0.07
"like",0.07
"may",0.07
"muslim",0.07
"must",0.07
"numbers",0.07
"paying",0.07
"political",0.07
"residents",0.07
"rest",0.07
"risk",0.07
"roads",0.07
"rural",0.07
"safe",0.07
"similar",0.07
"status",0.07
"uncommon",0.07
"understood",0.07
"using",0.07
"will",0.07
"without",0.07
