"","government"
"armed",0.16
"political",0.16
"embassy",0.15
"foreign",0.15
"official",0.15
"officials",0.15
"visa",0.15
"visas",0.15
"conflict",0.14
"countries",0.14
"currency",0.14
"consult",0.13
"foreigners",0.13
"police",0.13
"security",0.13
"situation",0.13
"avoid",0.12
"capital",0.12
"citizens",0.12
"dangerous",0.12
"control",0.11
"drivers",0.11
"embassies",0.11
"generally",0.11
"illegal",0.11
"islamic",0.11
"issued",0.11
"ministry",0.11
"money",0.11
"nationals",0.11
"offices",0.11
"passport",0.11
"people",0.11
"strongly",0.11
"violence",0.11
"''''''",0.1
"advised",0.1
"agreement",0.1
"apply",0.1
"british",0.1
"due",0.1
"economic",0.1
"entry",0.1
"exchange",0.1
"india",0.1
"language",0.1
"languages",0.1
"legal",0.1
"medical",0.1
"muslim",0.1
"passports",0.1
"prepaid",0.1
"rate",0.1
"require",0.1
"required",0.1
"respect",0.1
"travel",0.1
"travelling",0.1
"widely",0.1
"women",0.1
"accept",0.09
"accepted",0.09
"attacks",0.09
"began",0.09
"bottled",0.09
"business",0.09
"cities",0.09
"commission",0.09
"common",0.09
"compared",0.09
"considered",0.09
"dollars",0.09
"domestic",0.09
"driver",0.09
"even",0.09
"given",0.09
"guard",0.09
"health",0.09
"law",0.09
"led",0.09
"legally",0.09
"like",0.09
"majority",0.09
"may",0.09
"military",0.09
"obtain",0.09
"republic",0.09
"safe",0.09
"sim",0.09
"similar",0.09
"speak",0.09
"war",0.09
"without",0.09
"work",0.09
"aid",0.08
"air",0.08
"airlines",0.08
"airways",0.08
"alcohol",0.08
"areas",0.08
"became",0.08
"better",0.08
"card",0.08
"cards",0.08
"care",0.08
"carrier",0.08
"chinese",0.08
"coins",0.08
"communist",0.08
"consulate",0.08
"country's",0.08
"declared",0.08
"difficult",0.08
"english",0.08
"ensure",0.08
"especially",0.08
"fighting",0.08
"financial",0.08
"first",0.08
"foreigner",0.08
"heavy",0.08
"help",0.08
"hotels",0.08
"indian",0.08
"insist",0.08
"issue",0.08
"jobs",0.08
"land",0.08
"likely",0.08
"longer",0.08
"made",0.08
"major",0.08
"mobile",0.08
"much",0.08
"must",0.08
"never",0.08
"notes",0.08
"now",0.08
"occupation",0.08
"officers",0.08
"often",0.08
"others",0.08
"overseas",0.08
"payment",0.08
"permission",0.08
"permit",0.08
"poor",0.08
"prohibited",0.08
"refuse",0.08
"regions",0.08
"religious",0.08
"rice",0.08
"risk",0.08
"rule",0.08
"safety",0.08
"signed",0.08
"spoken",0.08
"taxis",0.08
"territory",0.08
"threat",0.08
"tourism",0.08
"tourist",0.08
"tourists",0.08
"trade",0.08
"travellers",0.08
"used",0.08
"usually",0.08
"violent",0.08
"african",0.07
"almost",0.07
"although",0.07
"arrival",0.07
"atms",0.07
"banned",0.07
"brands",0.07
"called",0.07
"carry",0.07
"cause",0.07
"central",0.07
"civil",0.07
"colonial",0.07
"crime",0.07
"customs",0.07
"divided",0.07
"education",0.07
"enter",0.07
"ethnic",0.07
"flights",0.07
"form",0.07
"granted",0.07
"group",0.07
"handles",0.07
"higher",0.07
"instead",0.07
"insurance",0.07
"killed",0.07
"laws",0.07
"letter",0.07
"mosque",0.07
"nations",0.07
"obtained",0.07
"officially",0.07
"pay",0.07
"personnel",0.07
"religion",0.07
"safer",0.07
"say",0.07
"sometimes",0.07
"speaking",0.07
"stand",0.07
"still",0.07
"talking",0.07
"taxi",0.07
"tend",0.07
"though",0.07
"un",0.07
"unless",0.07
"widespread",0.07
"workers",0.07
