"","european"
"europe",0.21
"countries",0.2
"eu",0.15
"biggest",0.14
"language",0.13
"modern",0.13
"worldwide",0.13
"card",0.12
"citizens",0.12
"currency",0.12
"english",0.12
"especially",0.12
"foreign",0.12
"languages",0.12
"official",0.12
"often",0.12
"speak",0.12
"usually",0.12
"cards",0.11
"common",0.11
"companies",0.11
"embassy",0.11
"even",0.11
"exchange",0.11
"expensive",0.11
"flights",0.11
"france",0.11
"french",0.11
"generally",0.11
"german",0.11
"network",0.11
"prices",0.11
"ticket",0.11
"tickets",0.11
"valid",0.11
"visa",0.11
"accept",0.1
"accepted",0.1
"airlines",0.1
"airport",0.1
"always",0.1
"avoid",0.1
"beer",0.1
"cheaper",0.1
"cities",0.1
"credit",0.1
"cultural",0.1
"domestic",0.1
"drivers",0.1
"germany",0.1
"lines",0.1
"major",0.1
"medieval",0.1
"money",0.1
"offices",0.1
"parliament",0.1
"parts",0.1
"passport",0.1
"pay",0.1
"political",0.1
"rate",0.1
"rule",0.1
"russian",0.1
"sometimes",0.1
"student",0.1
"tipping",0.1
"widely",0.1
"widespread",0.1
"without",0.1
"world",0.1
"almost",0.09
"although",0.09
"asian",0.09
"aware",0.09
"bars",0.09
"became",0.09
"bought",0.09
"buying",0.09
"capital",0.09
"central",0.09
"cheap",0.09
"clubs",0.09
"coins",0.09
"cuisine",0.09
"culture",0.09
"different",0.09
"dishes",0.09
"embassies",0.09
"empire",0.09
"europe's",0.09
"expect",0.09
"first",0.09
"gothic",0.09
"higher",0.09
"know",0.09
"least",0.09
"legal",0.09
"might",0.09
"note",0.09
"number",0.09
"oldest",0.09
"outside",0.09
"paid",0.09
"people",0.09
"polish",0.09
"price",0.09
"problem",0.09
"quality",0.09
"regions",0.09
"roman",0.09
"second",0.09
"similar",0.09
"soviet",0.09
"spoken",0.09
"system",0.09
"tend",0.09
"though",0.09
"throughout",0.09
"trains",0.09
"trams",0.09
"try",0.09
"use",0.09
"visas",0.09
"work",0.09
"airports",0.08
"among",0.08
"applies",0.08
"apply",0.08
"arrivals",0.08
"ask",0.08
"automatic",0.08
"average",0.08
"big",0.08
"brands",0.08
"carrier",0.08
"cases",0.08
"certain",0.08
"change",0.08
"cheapest",0.08
"check",0.08
"compared",0.08
"cost",0.08
"costs",0.08
"country's",0.08
"despite",0.08
"drink",0.08
"drunk",0.08
"economic",0.08
"europeans",0.08
"example",0.08
"financial",0.08
"find",0.08
"fixed",0.08
"form",0.08
"important",0.08
"keep",0.08
"largest",0.08
"law",0.08
"less",0.08
"like",0.08
"list",0.08
"longest",0.08
"low-cost",0.08
"machines",0.08
"mainly",0.08
"many",0.08
"may",0.08
"member",0.08
"million",0.08
"mobile",0.08
"mostly",0.08
"museums",0.08
"never",0.08
"normally",0.08
"obtain",0.08
"offer",0.08
"operate",0.08
"part",0.08
"paying",0.08
"payment",0.08
"police",0.08
"prepaid",0.08
"quite",0.08
"rarely",0.08
"rather",0.08
"relatively",0.08
"republic",0.08
"rest",0.08
"risk",0.08
"ryanair",0.08
"safe",0.08
"sea",0.08
"serious",0.08
"sim",0.08
"since",0.08
"smaller",0.08
"sold",0.08
"speaking",0.08
"standard",0.08
"still",0.08
"streets",0.08
"strong",0.08
"style",0.08
"time",0.08
"tourist",0.08
"traffic",0.08
"transport",0.08
"turkish",0.08
"used",0.08
"using",0.08
"wide",0.08
"younger",0.08
"airline",0.07
"art",0.07
"atms",0.07
"based",0.07
"become",0.07
"better",0.07
"building",0.07
"buy",0.07
"called",0.07
"carriers",0.07
"cause",0.07
"century",0.07
"communist",0.07
"debit",0.07
"difference",0.07
"direct",0.07
"dish",0.07
"divided",0.07
"drinks",0.07
"driver",0.07
"due",0.07
"early",0.07
"every",0.07
"exception",0.07
"extra",0.07
"frequently",0.07
"heavy",0.07
"imported",0.07
"letter",0.07
"likely",0.07
"low",0.07
"means",0.07
"meat",0.07
"mix",0.07
"motorways",0.07
"much",0.07
"need",0.07
"night",0.07
"now",0.07
"online",0.07
"recent",0.07
"rules",0.07
"russia",0.07
"simply",0.07
"standards",0.07
"students",0.07
"taking",0.07
"talking",0.07
"theatre",0.07
"times",0.07
"tourists",0.07
"train",0.07
"tram",0.07
"travel",0.07
"travellers",0.07
"war",0.07
"well",0.07
"words",0.07
"young",0.07
