"","passport"
"visa",0.34
"stamp",0.3
"currency",0.26
"visas",0.25
"citizens",0.23
"embassy",0.23
"sim",0.23
"customs",0.22
"passports",0.22
"countries",0.21
"border",0.2
"card",0.2
"exchange",0.19
"obtain",0.19
"checks",0.18
"required",0.18
"accept",0.17
"apply",0.17
"crossing",0.17
"foreign",0.17
"foreigners",0.17
"issued",0.17
"money",0.17
"valid",0.17
"cash",0.16
"drivers",0.16
"entry",0.16
"nationals",0.16
"need",0.16
"police",0.16
"require",0.16
"accepted",0.15
"atms",0.15
"enter",0.15
"insurance",0.15
"official",0.15
"officials",0.15
"pay",0.15
"payment",0.15
"receive",0.15
"security",0.15
"ask",0.14
"asked",0.14
"cards",0.14
"consulate",0.14
"dollars",0.14
"driver's",0.14
"generally",0.14
"illegal",0.14
"insist",0.14
"process",0.14
"arrival",0.13
"entering",0.13
"even",0.13
"expect",0.13
"gsm",0.13
"id",0.13
"keep",0.13
"legal",0.13
"notes",0.13
"officers",0.13
"passengers",0.13
"permit",0.13
"proof",0.13
"rate",0.13
"refuse",0.13
"situation",0.13
"sometimes",0.13
"sure",0.13
"wait",0.13
"widely",0.13
"without",0.13
"avoid",0.12
"aware",0.12
"carry",0.12
"charge",0.12
"cheaper",0.12
"collect",0.12
"common",0.12
"control",0.12
"copy",0.12
"cost",0.12
"driver",0.12
"likely",0.12
"may",0.12
"might",0.12
"mobile",0.12
"offices",0.12
"paying",0.12
"political",0.12
"prepaid",0.12
"risk",0.12
"tend",0.12
"tipping",0.12
"travel",0.12
"usually",0.12
"able",0.11
"allowed",0.11
"always",0.11
"bottled",0.11
"buying",0.11
"check",0.11
"costs",0.11
"credit",0.11
"crossings",0.11
"embassies",0.11
"especially",0.11
"eu",0.11
"give",0.11
"government",0.11
"guards",0.11
"identity",0.11
"language",0.11
"leave",0.11
"luggage",0.11
"mind",0.11
"must",0.11
"normal",0.11
"officer",0.11
"often",0.11
"phones",0.11
"price",0.11
"prices",0.11
"respect",0.11
"speak",0.11
"unless",0.11
"will",0.11
"work",0.11
"acceptable",0.1
"agents",0.1
"airlines",0.1
"although",0.1
"asking",0.1
"careful",0.1
"carrier",0.1
"change",0.1
"coins",0.1
"commission",0.1
"data",0.1
"drugs",0.1
"european",0.1
"expensive",0.1
"fill",0.1
"fines",0.1
"hand",0.1
"instead",0.1
"intend",0.1
"issue",0.1
"languages",0.1
"least",0.1
"license",0.1
"make",0.1
"medical",0.1
"note",0.1
"numbers",0.1
"paid",0.1
"politics",0.1
"problem",0.1
"problems",0.1
"rarely",0.1
"rates",0.1
"regardless",0.1
"republic",0.1
"rules",0.1
"safe",0.1
"saying",0.1
"send",0.1
"travellers",0.1
"unlikely",0.1
"use",0.1
"widespread",0.1
"women",0.1
"account",0.09
"advance",0.09
"airways",0.09
"alcohol",0.09
"amount",0.09
"arrive",0.09
