"","situation"
"security",0.23
"conflict",0.22
"attacks",0.18
"armed",0.16
"political",0.16
"sim",0.16
"violence",0.15
"countries",0.14
"dangerous",0.14
"fighting",0.14
"citizens",0.13
"government",0.13
"passport",0.13
"control",0.12
"embassy",0.12
"foreign",0.12
"islamic",0.12
"languages",0.12
"violent",0.12
"nationals",0.11
"police",0.11
"refuse",0.11
"threat",0.11
"visa",0.11
"visas",0.11
"avoid",0.1
"card",0.1
"considered",0.1
"currency",0.1
"instead",0.1
"travel",0.1
"westerners",0.1
"accept",0.09
"accepted",0.09
"aware",0.09
"border",0.09
"civil",0.09
"common",0.09
"consider",0.09
"crossing",0.09
"current",0.09
"damaged",0.09
"danger",0.09
"due",0.09
"especially",0.09
"ethnic",0.09
"forces",0.09
"foreigner",0.09
"language",0.09
"likely",0.09
"may",0.09
"military",0.09
"money",0.09
"much",0.09
"officers",0.09
"report",0.09
"rule",0.09
"russian",0.09
"safest",0.09
"sensitive",0.09
"similar",0.09
"since",0.09
"spoken",0.09
"troops",0.09
"widely",0.09
"advise",0.08
"although",0.08
"always",0.08
"atms",0.08
"attack",0.08
"avoided",0.08
"buying",0.08
"certainly",0.08
"crime",0.08
"delays",0.08
"embassies",0.08
"exchange",0.08
"foreigners",0.08
"generally",0.08
"gsm",0.08
"heavy",0.08
"higher",0.08
"illegal",0.08
"incidents",0.08
"issue",0.08
"keep",0.08
"might",0.08
"muslim",0.08
"official",0.08
"officials",0.08
"often",0.08
"patrol",0.08
"poor",0.08
"problem",0.08
"regions",0.08
"related",0.08
"republic",0.08
"require",0.08
"risk",0.08
"russia",0.08
"safe",0.08
"safer",0.08
"say",0.08
"still",0.08
"travellers",0.08
"unlikely",0.08
"war",0.08
"widespread",0.08
"without",0.08
"worse",0.08
"announced",0.07
"bottled",0.07
"caused",0.07
"caution",0.07
"compared",0.07
"criminal",0.07
"crossings",0.07
"dollars",0.07
"even",0.07
"expect",0.07
"give",0.07
"medical",0.07
"mobile",0.07
"notes",0.07
"obtain",0.07
"ongoing",0.07
"passports",0.07
"pay",0.07
"planning",0.07
"politics",0.07
"rate",0.07
"recent",0.07
"remember",0.07
"respect",0.07
"result",0.07
"rules",0.07
"safety",0.07
"simply",0.07
"sure",0.07
"women",0.07
