"","chinese"
"china",0.31
"mandarin",0.22
"han",0.16
"jalan",0.16
"noodles",0.16
"hong",0.15
"kong",0.15
"dynasty",0.14
"food",0.14
"noodle",0.14
"korean",0.13
"asian",0.12
"dragon",0.12
"malaysia",0.12
"restaurant",0.12
"rice",0.12
"yellow",0.12
"foreign",0.11
"foreigners",0.11
"buddhist",0.1
"buffet",0.1
"cheap",0.1
"chicken",0.1
"cuisine",0.1
"drivers",0.1
"ethnic",0.1
"friendship",0.1
"soup",0.1
"autonomous",0.09
"business",0.09
"communist",0.09
"curry",0.09
"dishes",0.09
"indian",0.09
"korea",0.09
"malaysian",0.09
"minority",0.09
"overseas",0.09
"pagoda",0.09
"rates",0.09
"shopping",0.09
"singapore",0.09
"spicy",0.09
"stalls",0.09
"style",0.09
"tea",0.09
"thai",0.09
"tibetan",0.09
"authentic",0.08
"coffee",0.08
"cost",0.08
"dialect",0.08
"discounted",0.08
"dong",0.08
"english",0.08
"expect",0.08
"fast",0.08
"fried",0.08
"government",0.08
"hotel",0.08
"indonesian",0.08
"japanese",0.08
"kfc",0.08
"like",0.08
"market",0.08
"people's",0.08
"prices",0.08
"serves",0.08
"serving",0.08
"speak",0.08
"staff",0.08
"steamed",0.08
"street",0.08
"taxis",0.08
"wall",0.08
"western",0.08
"buddha",0.07
"currency",0.07
"domestic",0.07
"driver",0.07
"expats",0.07
"fare",0.07
"floor",0.07
"good",0.07
"hotels",0.07
"mall",0.07
"menu",0.07
"night",0.07
"price",0.07
"quality",0.07
"silk",0.07
"standard",0.07
"temple",0.07
"try",0.07
"vegetarian",0.07
"vietnamese",0.07
