"","regions"
"region",0.22
"countries",0.19
"languages",0.18
"spoken",0.18
"cities",0.17
"language",0.17
"capital",0.15
"republic",0.14
"common",0.13
"largest",0.13
"often",0.13
"political",0.13
"remote",0.13
"visas",0.13
"widely",0.13
"areas",0.12
"borders",0.12
"citizens",0.12
"currency",0.12
"official",0.12
"states",0.12
"visa",0.12
"widespread",0.12
"country's",0.11
"distinct",0.11
"eastern",0.11
"especially",0.11
"foreign",0.11
"major",0.11
"national",0.11
"parts",0.11
"russia",0.11
"speak",0.11
"territory",0.11
"travel",0.11
"violent",0.11
"world",0.11
"airports",0.1
"border",0.1
"conflict",0.1
"considered",0.1
"crime",0.1
"crossings",0.1
"culturally",0.1
"culture",0.1
"dialect",0.1
"dialects",0.1
"domestic",0.1
"ethnic",0.1
"generally",0.1
"majority",0.1
"million",0.1
"mountains",0.1
"northern",0.1
"provinces",0.1
"southern",0.1
"vast",0.1
"world's",0.1
"almost",0.09
"apply",0.09
"bordered",0.09
"climate",0.09
"country",0.09
"dangerous",0.09
"due",0.09
"economic",0.09
"embassy",0.09
"european",0.09
"even",0.09
"flights",0.09
"highways",0.09
"influence",0.09
"issue",0.09
"largely",0.09
"laws",0.09
"least",0.09
"lesser",0.09
"minority",0.09
"part",0.09
"passport",0.09
"politics",0.09
"region's",0.09
"require",0.09
"roads",0.09
"rule",0.09
"rural",0.09
"russian",0.09
"sometimes",0.09
"state's",0.09
"throughout",0.09
"tipping",0.09
"travellers",0.09
"understood",0.09
"accent",0.08
"although",0.08
"cause",0.08
"certain",0.08
"commonly",0.08
"compared",0.08
"control",0.08
"despite",0.08
"different",0.08
"discuss",0.08
"diverse",0.08
"eaten",0.08
"embassies",0.08
"empire",0.08
"english",0.08
"exception",0.08
"extremely",0.08
"government",0.08
"illegal",0.08
"immense",0.08
"landscapes",0.08
"larger",0.08
"legal",0.08
"many",0.08
"ministry",0.08
"much",0.08
"nations",0.08
"people",0.08
"populated",0.08
"problem",0.08
"risk",0.08
"serious",0.08
"situation",0.08
"smaller",0.08
"speakers",0.08
"third",0.08
"towns",0.08
"urban",0.08
"violence",0.08
"wars",0.08
"western",0.08
"accepted",0.07
"african",0.07
"airlines",0.07
"avoid",0.07
"aware",0.07
"bilingual",0.07
"criminal",0.07
"cultural",0.07
"divided",0.07
"driving",0.07
"drunk",0.07
"foreigners",0.07
"hard",0.07
"heritage",0.07
"higher",0.07
"highest",0.07
"known",0.07
"likely",0.07
"nation",0.07
"neighbor",0.07
"obtain",0.07
"perhaps",0.07
"plains",0.07
"populous",0.07
"purposes",0.07
"relatively",0.07
"remain",0.07
"respect",0.07
"similar",0.07
"still",0.07
"strong",0.07
"systems",0.07
"treated",0.07
"uncommon",0.07
"united",0.07
"valid",0.07
"wealth",0.07
"without",0.07
