"","please"
"note",0.17
"ensure",0.16
"respect",0.16
"add",0.12
"check",0.11
"individual",0.11
"emergency",0.1
"fines",0.1
"listings",0.1
"may",0.1
"must",0.1
"police",0.1
"advance",0.09
"advised",0.09
"available",0.09
"avoid",0.09
"aware",0.09
"call",0.09
"carry",0.09
"clinic",0.09
"contact",0.09
"details",0.09
"keep",0.09
"medical",0.09
"money",0.09
"need",0.09
"provide",0.09
"remember",0.09
"required",0.09
"time",0.09
"use",0.09
"usually",0.09
"visit",0.09
"will",0.09
"accept",0.08
"allow",0.08
"always",0.08
"arrival",0.08
"ask",0.08
"calling",0.08
"card",0.08
"countries",0.08
"discuss",0.08
"drinking",0.08
"driver",0.08
"driver's",0.08
"drivers",0.08
"especially",0.08
"expect",0.08
"find",0.08
"foreign",0.08
"generally",0.08
"help",0.08
"leave",0.08
"list",0.08
"listing",0.08
"locations",0.08
"make",0.08
"normally",0.08
"pay",0.08
"price",0.08
"require",0.08
"see",0.08
"sure",0.08
"travel",0.08
"valid",0.08
"vehicle",0.08
"visa",0.08
"without",0.08
"work",0.08
"allowed",0.07
"cards",0.07
"even",0.07
"exchange",0.07
"highly",0.07
"however",0.07
"illegal",0.07
"know",0.07
"offer",0.07
"offices",0.07
"order",0.07
"passengers",0.07
"people",0.07
"plans",0.07
"prior",0.07
"standard",0.07
"stay",0.07
"traffic",0.07
"unless",0.07
