"","emergency"
"ambulance",0.35
"medical",0.24
"coverage",0.21
"hospital",0.2
"networks",0.2
"police",0.2
"fire",0.19
"dial",0.18
"hospitals",0.18
"calling",0.17
"reception",0.17
"calls",0.16
"care",0.15
"effect",0.15
"call",0.14
"clinic",0.14
"normally",0.14
"seek",0.14
"telephone",0.14
"areas",0.13
"accident",0.12
"generally",0.12
"health",0.12
"network",0.12
"operator",0.12
"services",0.12
"case",0.11
"law",0.11
"mobile",0.11
"phones",0.11
"provide",0.11
"report",0.11
"tipping",0.11
"assistance",0.1
"cards",0.1
"distant",0.1
"higher",0.1
"insurance",0.1
"legal",0.1
"may",0.1
"often",0.1
"placed",0.1
"please",0.1
"prepaid",0.1
"rescue",0.1
"sa",0.1
"always",0.09
"apply",0.09
"avoid",0.09
"aware",0.09
"charge",0.09
"ensure",0.09
"especially",0.09
"gsm",0.09
"larger",0.09
"numbers",0.09
"offices",0.09
"operators",0.09
"payment",0.09
"poor",0.09
"provided",0.09
"require",0.09
"sim",0.09
"terrain",0.09
"towers",0.09
"use",0.09
"without",0.09
"accept",0.08
"ask",0.08
"available",0.08
"card",0.08
"carry",0.08
"cause",0.08
"cell",0.08
"common",0.08
"commonly",0.08
"considered",0.08
"credit",0.08
"embassy",0.08
"hilly",0.08
"illegal",0.08
"keep",0.08
"personal",0.08
"requiring",0.08
"respect",0.08
"safe",0.08
"sometimes",0.08
"tap",0.08
"treatment",0.08
"typically",0.08
"using",0.08
"vehicle",0.08
"wear",0.08
"weather",0.08
"work",0.08
"conditions",0.07
"connect",0.07
"countries",0.07
"crime",0.07
"currency",0.07
"either",0.07
"exchange",0.07
"money",0.07
"notes",0.07
"obtain",0.07
"passport",0.07
"problem",0.07
"remember",0.07
"required",0.07
"serious",0.07
"someone",0.07
"specialist",0.07
"specific",0.07
"valid",0.07
"widely",0.07
