"","hard"
"find",0.16
"even",0.14
"may",0.13
"pay",0.13
"sometimes",0.13
"will",0.13
"ask",0.12
"avoid",0.12
"get",0.12
"make",0.12
"might",0.12
"much",0.12
"often",0.12
"prices",0.12
"sure",0.12
"try",0.12
"unless",0.12
"'re",0.11
"'s",0.11
"always",0.11
"better",0.11
"bit",0.11
"come",0.11
"drivers",0.11
"especially",0.11
"expect",0.11
"expensive",0.11
"foreign",0.11
"generally",0.11
"locals",0.11
"look",0.11
"people",0.11
"speak",0.11
"usually",0.11
"want",0.11
"without",0.11
"work",0.11
"'ll",0.1
"accept",0.1
"cards",0.1
"cheap",0.1
"common",0.1
"difficult",0.1
"driver",0.1
"english",0.1
"finding",0.1
"keep",0.1
"know",0.1
"like",0.1
"money",0.1
"price",0.1
"soft",0.1
"trying",0.1
"almost",0.09
"although",0.09
"anywhere",0.09
"bargain",0.09
"bars",0.09
"buy",0.09
"card",0.09
"careful",0.09
"charge",0.09
"cheaper",0.09
"exchange",0.09
"extra",0.09
"extremely",0.09
"food",0.09
"getting",0.09
"go",0.09
"idea",0.09
"illegal",0.09
"lack",0.09
"least",0.09
"less",0.09
"mostly",0.09
"need",0.09
"outside",0.09
"purchase",0.09
"quite",0.09
"rate",0.09
"really",0.09
"remember",0.09
"stay",0.09
"tell",0.09
"tend",0.09
"though",0.09
"time",0.09
"worth",0.09
"able",0.08
"alcohol",0.08
"anyone",0.08
"anything",0.08
"around",0.08
"asking",0.08
"atms",0.08
"aware",0.08
"back",0.08
"best",0.08
"bring",0.08
"buying",0.08
"check",0.08
"compared",0.08
"cost",0.08
"countries",0.08
"currency",0.08
"decent",0.08
"different",0.08
"dollars",0.08
"drink",0.08
"drinking",0.08
"drinks",0.08
"driving",0.08
"feel",0.08
"give",0.08
"given",0.08
"going",0.08
"good",0.08
"harder",0.08
"help",0.08
"instead",0.08
"issue",0.08
"languages",0.08
"legal",0.08
"levels",0.08
"likely",0.08
"little",0.08
"looking",0.08
"lot",0.08
"makes",0.08
"meal",0.08
"mind",0.08
"mobile",0.08
"never",0.08
"obtain",0.08
"offer",0.08
"official",0.08
"option",0.08
"paid",0.08
"paying",0.08
"police",0.08
"prepaid",0.08
"prepared",0.08
"probably",0.08
"rarely",0.08
"roads",0.08
"see",0.08
"sell",0.08
"sense",0.08
"set",0.08
"slightly",0.08
"someone",0.08
"something",0.08
"somewhat",0.08
"staff",0.08
"standard",0.08
"staying",0.08
"still",0.08
"tends",0.08
"things",0.08
"tipping",0.08
"use",0.08
"visa",0.08
"wary",0.08
"way",0.08
"''''",0.07
"another",0.07
"attention",0.07
"beer",0.07
"big",0.07
"budget",0.07
"can",0.07
"care",0.07
"carry",0.07
"cash",0.07
"cause",0.07
"cheapest",0.07
"choose",0.07
"citizens",0.07
"cold",0.07
"consider",0.07
"credit",0.07
"crime",0.07
"depending",0.07
"despite",0.07
"either",0.07
"far",0.07
"friends",0.07
"gets",0.07
"hotels",0.07
"job",0.07
"just",0.07
"language",0.07
"meat",0.07
"miss",0.07
"must",0.07
"night",0.07
"note",0.07
"offices",0.07
"ok",0.07
"ones",0.07
"others",0.07
"pick",0.07
"popular",0.07
"problem",0.07
"rather",0.07
"regions",0.07
"right",0.07
"save",0.07
"seem",0.07
"sim",0.07
"simple",0.07
"sleeper",0.07
"start",0.07
"taxis",0.07
"times",0.07
"traffic",0.07
"valuables",0.07
"visas",0.07
"watch",0.07
