"","political"
"countries",0.21
"visas",0.17
"citizens",0.16
"government",0.16
"situation",0.16
"visa",0.16
"embassy",0.15
"currency",0.14
"embassies",0.14
"language",0.14
"languages",0.14
"passports",0.14
"republic",0.14
"security",0.14
"avoid",0.13
"communist",0.13
"foreign",0.13
"influence",0.13
"law",0.13
"official",0.13
"regions",0.13
"violent",0.13
"widely",0.13
"agreement",0.12
"became",0.12
"common",0.12
"conflict",0.12
"control",0.12
"due",0.12
"economic",0.12
"especially",0.12
"issued",0.12
"passport",0.12
"politics",0.12
"rule",0.12
"spoken",0.12
"apply",0.11
"considered",0.11
"foreigners",0.11
"legal",0.11
"police",0.11
"risk",0.11
"sim",0.11
"tipping",0.11
"war",0.11
"widespread",0.11
"accepted",0.1
"applies",0.1
"arabic",0.1
"atms",0.1
"capital",0.1
"card",0.1
"cities",0.1
"ethnic",0.1
"european",0.1
"even",0.1
"exchange",0.1
"foreigner",0.1
"generally",0.1
"illegal",0.1
"likely",0.1
"military",0.1
"obtain",0.1
"often",0.1
"parliament",0.1
"prepaid",0.1
"problems",0.1
"sensitive",0.1
"accept",0.09
"advise",0.09
"allowed",0.09
"although",0.09
"always",0.09
"aware",0.09
"bills",0.09
"cards",0.09
"certain",0.09
"civil",0.09
"country",0.09
"country's",0.09
"crossings",0.09
"cultural",0.09
"divided",0.09
"english",0.09
"eu",0.09
"forces",0.09
"issue",0.09
"money",0.09
"nationals",0.09
"nations",0.09
"officers",0.09
"officials",0.09
"pay",0.09
"say",0.09
"similar",0.09
"social",0.09
"speak",0.09
"speaking",0.09
"still",0.09
"territory",0.09
"though",0.09
"travellers",0.09
"violence",0.09
"women",0.09
"almost",0.08
"arab",0.08
"areas",0.08
"attacks",0.08
"attempt",0.08
"borders",0.08
"case",0.08
"cause",0.08
"commission",0.08
"concern",0.08
"consulate",0.08
"controlled",0.08
"crime",0.08
"dangerous",0.08
"dealing",0.08
"declared",0.08
"drivers",0.08
"elsewhere",0.08
"ended",0.08
"entry",0.08
"fear",0.08
"forced",0.08
"formally",0.08
"heavy",0.08
"identity",0.08
"instead",0.08
"insurance",0.08
"issues",0.08
"keep",0.08
"kingdom",0.08
"largely",0.08
"may",0.08
"men",0.08
"muslim",0.08
"normally",0.08
"note",0.08
"people",0.08
"problem",0.08
"rarely",0.08
"refer",0.08
"refuse",0.08
"relations",0.08
"religious",0.08
"require",0.08
"required",0.08
"respect",0.08
"result",0.08
"safe",0.08
"safer",0.08
"separate",0.08
"simply",0.08
"since",0.08
"soviet",0.08
"thus",0.08
"today",0.08
"trouble",0.08
"un",0.08
"used",0.08
"usually",0.08
"valid",0.08
"without",0.08
"work",0.08
"african",0.07
"already",0.07
"among",0.07
"ask",0.07
"border",0.07
"cases",0.07
"coins",0.07
"companies",0.07
"consider",0.07
"criminal",0.07
"cultures",0.07
"current",0.07
"customs",0.07
"despite",0.07
"distinct",0.07
"dollars",0.07
"driver",0.07
"drugs",0.07
"enter",0.07
"expect",0.07
"extremely",0.07
"fighting",0.07
"former",0.07
"gsm",0.07
"incidents",0.07
"know",0.07
"laws",0.07
"least",0.07
"majority",0.07
"might",0.07
"notes",0.07
"officer",0.07
"officially",0.07
"older",0.07
"particular",0.07
"paying",0.07
"policy",0.07
"polite",0.07
"process",0.07
"rate",0.07
"receive",0.07
"recent",0.07
"remain",0.07
"remains",0.07
"russia",0.07
"russian",0.07
"severe",0.07
"sometimes",0.07
"speakers",0.07
"speed",0.07
"stamp",0.07
"strict",0.07
"strong",0.07
"support",0.07
"trade",0.07
"travel",0.07
"try",0.07
"understood",0.07
"unless",0.07
"use",0.07
"using",0.07
"wearing",0.07
