"","medical"
"emergency",0.24
"clinic",0.22
"hospital",0.21
"hospitals",0.21
"treatment",0.18
"health",0.16
"police",0.15
"care",0.14
"insurance",0.14
"law",0.13
"ambulance",0.12
"ensure",0.12
"require",0.12
"dial",0.11
"embassy",0.11
"payment",0.11
"respect",0.11
"seek",0.11
"sim",0.11
"university",0.11
"visas",0.11
"aware",0.1
"card",0.1
"countries",0.1
"government",0.1
"mobile",0.1
"passport",0.1
"prepaid",0.1
"provided",0.1
"rate",0.1
"visa",0.1
"accepted",0.09
"advised",0.09
"apply",0.09
"avoid",0.09
"cards",0.09
"citizens",0.09
"college",0.09
"common",0.09
"currency",0.09
"exchange",0.09
"facilities",0.09
"fire",0.09
"foreign",0.09
"help",0.09
"illegal",0.09
"keep",0.09
"legal",0.09
"money",0.09
"need",0.09
"patrol",0.09
"phones",0.09
"please",0.09
"required",0.09
"safe",0.09
"work",0.09
"accept",0.08
"always",0.08
"arrival",0.08
"ask",0.08
"assistance",0.08
"attention",0.08
"carry",0.08
"case",0.08
"cases",0.08
"chief",0.08
"crime",0.08
"expect",0.08
"generally",0.08
"gsm",0.08
"institute",0.08
"issue",0.08
"issued",0.08
"know",0.08
"may",0.08
"must",0.08
"nationals",0.08
"note",0.08
"notes",0.08
"numbers",0.08
"obtain",0.08
"offices",0.08
"often",0.08
"overseas",0.08
"plans",0.08
"rarely",0.08
"refuse",0.08
"risk",0.08
"serious",0.08
"show",0.08
"sometimes",0.08
"students",0.08
"sure",0.08
"use",0.08
"valid",0.08
"violent",0.08
"wear",0.08
"accident",0.07
"areas",0.07
"available",0.07
"call",0.07
"careful",0.07
"cause",0.07
"code",0.07
"colleges",0.07
"consulate",0.07
"dealing",0.07
"domestic",0.07
"drivers",0.07
"drugs",0.07
"due",0.07
"elderly",0.07
"especially",0.07
"healthy",0.07
"mind",0.07
"necessary",0.07
"paid",0.07
"paying",0.07
"people",0.07
"problems",0.07
"provide",0.07
"situation",0.07
"system",0.07
"tax",0.07
"tend",0.07
"usually",0.07
"widely",0.07
"working",0.07
