"","language"
"spoken",0.43
"speak",0.32
"english",0.31
"languages",0.28
"official",0.26
"widely",0.23
"speakers",0.2
"speaking",0.2
"taught",0.2
"common",0.19
"countries",0.19
"foreign",0.18
"understood",0.18
"dialect",0.17
"people",0.17
"regions",0.17
"schools",0.17
"dialects",0.16
"ethnic",0.16
"words",0.16
"especially",0.15
"widespread",0.15
"capital",0.14
"cities",0.14
"generally",0.14
"majority",0.14
"political",0.14
"spanish",0.14
"visa",0.14
"bilingual",0.13
"culture",0.13
"currency",0.13
"dominant",0.13
"european",0.13
"even",0.13
"minority",0.13
"often",0.13
"region",0.13
"understand",0.13
"younger",0.13
"europe",0.12
"indigenous",0.12
"know",0.12
"learning",0.12
"native",0.12
"parts",0.12
"related",0.12
"similar",0.12
"world",0.12
"almost",0.11
"although",0.11
"citizens",0.11
"closely",0.11
"distinct",0.11
"due",0.11
"educated",0.11
"embassy",0.11
"exchange",0.11
"fluent",0.11
"may",0.11
"part",0.11
"passport",0.11
"republic",0.11
"soviet",0.11
"though",0.11
"visas",0.11
"able",0.1
"accept",0.1
"always",0.1
"areas",0.1
"avoid",0.1
"crime",0.1
"cultural",0.1
"dish",0.1
"domestic",0.1
"drivers",0.1
"exception",0.1
"german",0.1
"government",0.1
"illegal",0.1
"knowledge",0.1
"least",0.1
"like",0.1
"likely",0.1
"locals",0.1
"provinces",0.1
"rarely",0.1
"rest",0.1
"russian",0.1
"safe",0.1
"sim",0.1
"sometimes",0.1
"still",0.1
"tend",0.1
"tipping",0.1
"use",0.1
"used",0.1
"usually",0.1
"written",0.1
"accepted",0.09
"airlines",0.09
"apply",0.09
"aware",0.09
"border",0.09
"borders",0.09
"called",0.09
"card",0.09
"cards",0.09
"commonly",0.09
"compared",0.09
"country's",0.09
"different",0.09
"eastern",0.09
"eaten",0.09
"elsewhere",0.09
"expect",0.09
"far",0.09
"flights",0.09
"foreigners",0.09
"generation",0.09
"higher",0.09
"influence",0.09
"keep",0.09
"known",0.09
"learn",0.09
"major",0.09
"mandarin",0.09
"means",0.09
"might",0.09
"mixed",0.09
"money",0.09
"mostly",0.09
"much",0.09
"normally",0.09
"older",0.09
"problem",0.09
"problems",0.09
"rate",0.09
"rule",0.09
"situation",0.09
"smaller",0.09
"someone",0.09
"standard",0.09
"strong",0.09
"throughout",0.09
"unlike",0.09
"violent",0.09
"work",0.09
"airports",0.08
"alone",0.08
"among",0.08
"arabic",0.08
"buying",0.08
"case",0.08
"certain",0.08
"consider",0.08
"considered",0.08
"consulate",0.08
"consumed",0.08
"despite",0.08
"difficult",0.08
"divided",0.08
"drunk",0.08
"economic",0.08
"eu",0.08
"expensive",0.08
"find",0.08
"form",0.08
"french",0.08
"give",0.08
"group",0.08
"gsm",0.08
"hear",0.08
"identity",0.08
"individual",0.08
"inhabited",0.08
"instead",0.08
"islands",0.08
"issue",0.08
"legal",0.08
"long",0.08
"mainly",0.08
"many",0.08
"million",0.08
"mixture",0.08
"mobile",0.08
"muslim",0.08
"nations",0.08
"need",0.08
"northern",0.08
"note",0.08
"obtain",0.08
"offices",0.08
"payment",0.08
"police",0.08
"politics",0.08
"poor",0.08
"prepaid",0.08
"prevalent",0.08
"religion",0.08
"remote",0.08
"require",0.08
"respect",0.08
"risk",0.08
"russia",0.08
"second",0.08
"security",0.08
"since",0.08
"system",0.08
"talking",0.08
"teachers",0.08
"territory",0.08
"tourist",0.08
"tourists",0.08
"try",0.08
"useful",0.08
"valid",0.08
"virtually",0.08
"wear",0.08
"word",0.08
"accent",0.07
"alcohol",0.07
"anyone",0.07
"articles",0.07
"becoming",0.07
"bordering",0.07
"brands",0.07
"carry",0.07
"cases",0.07
"cause",0.07
"courses",0.07
"crossings",0.07
"culturally",0.07
"cultures",0.07
"customs",0.07
"discuss",0.07
"drink",0.07
"drinking",0.07
"driver",0.07
"embassies",0.07
"expats",0.07
"extra",0.07
"extremely",0.07
"frequently",0.07
"getting",0.07
"hard",0.07
"heavily",0.07
"however",0.07
"idea",0.07
"important",0.07
"insist",0.07
"less",0.07
"lesser",0.07
"longer",0.07
"make",0.07
"meat",0.07
"must",0.07
"nationals",0.07
"network",0.07
"never",0.07
"notes",0.07
"numbers",0.07
"officially",0.07
"ones",0.07
"outside",0.07
"particular",0.07
"pay",0.07
"paying",0.07
"pockets",0.07
"polite",0.07
"recent",0.07
"refer",0.07
"region's",0.07
"respective",0.07
"speaks",0.07
"status",0.07
"students",0.07
"sure",0.07
"talk",0.07
"teaching",0.07
"travel",0.07
"travellers",0.07
"uncommon",0.07
"unless",0.07
"will",0.07
"without",0.07
