"","health"
"medical",0.16
"care",0.14
"treatment",0.13
"clinic",0.12
"emergency",0.12
"hospital",0.12
"sim",0.12
"hospitals",0.1
"spa",0.1
"visa",0.1
"card",0.09
"countries",0.09
"currency",0.09
"government",0.09
"insurance",0.09
"legal",0.09
"police",0.09
"work",0.09
"'''public",0.08
"avoid",0.08
"aware",0.08
"bottled",0.08
"buying",0.08
"citizens",0.08
"common",0.08
"facilities",0.08
"gsm",0.08
"healthy",0.08
"massage",0.08
"mobile",0.08
"official",0.08
"passport",0.08
"payment",0.08
"problems",0.08
"rate",0.08
"required",0.08
"similar",0.08
"visas",0.08
"widely",0.08
"aid",0.07
"apply",0.07
"cards",0.07
"crime",0.07
"education",0.07
"embassy",0.07
"ensure",0.07
"offices",0.07
"people",0.07
"prepaid",0.07
"resources",0.07
"respect",0.07
"retail",0.07
"social",0.07
"system",0.07
