"","hospitals"
"medical",0.21
"emergency",0.18
"hospital",0.17
"care",0.15
"police",0.11
"countries",0.1
"health",0.1
"issue",0.1
"prepaid",0.1
"rate",0.1
"visas",0.1
"currency",0.09
"insurance",0.09
"passport",0.09
"sim",0.09
"ut",0.09
"visa",0.09
"always",0.08
"avoid",0.08
"aware",0.08
"card",0.08
"cards",0.08
"crime",0.08
"dial",0.08
"embassy",0.08
"formal",0.08
"involves",0.08
"request",0.08
"safe",0.08
"shown",0.08
"tipping",0.08
"accept",0.07
"ambulance",0.07
"apply",0.07
"atms",0.07
"common",0.07
"educated",0.07
"embassies",0.07
"mobile",0.07
"money",0.07
"payment",0.07
"purchase",0.07
"regency",0.07
"risk",0.07
"serious",0.07
"theft",0.07
"undergone",0.07
"widely",0.07
