"","cities"
"major",0.27
"city",0.19
"capital",0.17
"region",0.17
"regions",0.17
"largest",0.15
"like",0.15
"airports",0.14
"important",0.14
"language",0.14
"parts",0.14
"spoken",0.14
"common",0.13
"connected",0.13
"countries",0.13
"especially",0.13
"flights",0.13
"languages",0.13
"airport",0.12
"domestic",0.12
"generally",0.12
"speak",0.12
"towns",0.12
"trains",0.12
"urban",0.12
"widely",0.12
"airlines",0.11
"almost",0.11
"areas",0.11
"avoid",0.11
"connect",0.11
"connecting",0.11
"connects",0.11
"network",0.11
"often",0.11
"travel",0.11
"university",0.11
"well",0.11
"world",0.11
"central",0.1
"crime",0.1
"cultural",0.1
"dialect",0.1
"european",0.1
"famous",0.1
"hub",0.1
"intercity",0.1
"larger",0.1
"lines",0.1
"many",0.1
"political",0.1
"provinces",0.1
"smaller",0.1
"state's",0.1
"usually",0.1
"biggest",0.09
"borders",0.09
"companies",0.09
"compared",0.09
"considered",0.09
"country's",0.09
"dish",0.09
"diverse",0.09
"eastern",0.09
"economic",0.09
"even",0.09
"foreign",0.09
"government",0.09
"highways",0.09
"known",0.09
"million",0.09
"mostly",0.09
"number",0.09
"official",0.09
"part",0.09
"persian",0.09
"rail",0.09
"region's",0.09
"regional",0.09
"rest",0.09
"routes",0.09
"served",0.09
"states",0.09
"tend",0.09
"throughout",0.09
"train",0.09
"violent",0.09
"among",0.08
"ancient",0.08
"another",0.08
"buses",0.08
"busiest",0.08
"carriers",0.08
"centers",0.08
"certain",0.08
"dangerous",0.08
"different",0.08
"distinct",0.08
"divided",0.08
"empire",0.08
"english",0.08
"ethnic",0.08
"europe",0.08
"find",0.08
"form",0.08
"germany",0.08
"historical",0.08
"home",0.08
"hubs",0.08
"india",0.08
"industrial",0.08
"majority",0.08
"metro",0.08
"modern",0.08
"northern",0.08
"one",0.08
"places",0.08
"politics",0.08
"populous",0.08
"province",0.08
"relatively",0.08
"republic",0.08
"rivers",0.08
"rural",0.08
"safe",0.08
"similar",0.08
"stations",0.08
"system",0.08
"terms",0.08
"traveling",0.08
"understood",0.08
"unesco",0.08
"world's",0.08
"airline",0.07
"also",0.07
"although",0.07
"always",0.07
"called",0.07
"citizens",0.07
"city's",0.07
"culture",0.07
"due",0.07
"exception",0.07
"far",0.07
"following",0.07
"heavy",0.07
"less",0.07
"list",0.07
"much",0.07
"police",0.07
"populated",0.07
"problem",0.07
"railway",0.07
"russia",0.07
"second",0.07
"southern",0.07
"speakers",0.07
"speaking",0.07
"still",0.07
"third",0.07
"though",0.07
"uncommon",0.07
"unlike",0.07
"use",0.07
"western",0.07
"whereas",0.07
"widespread",0.07
