"","especially"
"even",0.2
"avoid",0.18
"often",0.18
"always",0.17
"common",0.17
"generally",0.17
"usually",0.17
"like",0.16
"quite",0.16
"sometimes",0.16
"areas",0.15
"aware",0.15
"find",0.15
"language",0.15
"make",0.15
"may",0.15
"popular",0.15
"tend",0.15
"try",0.15
"countries",0.14
"drivers",0.14
"english",0.14
"expect",0.14
"expensive",0.14
"keep",0.14
"many",0.14
"might",0.14
"much",0.14
"pay",0.14
"people",0.14
"prices",0.14
"speak",0.14
"sure",0.14
"use",0.14
"widely",0.14
"will",0.14
"without",0.14
"almost",0.13
"although",0.13
"cheaper",0.13
"cities",0.13
"crime",0.13
"due",0.13
"foreign",0.13
"languages",0.13
"least",0.13
"less",0.13
"note",0.13
"still",0.13
"though",0.13
"traffic",0.13
"among",0.12
"ask",0.12
"better",0.12
"bit",0.12
"cards",0.12
"careful",0.12
"certain",0.12
"cheap",0.12
"check",0.12
"driving",0.12
"european",0.12
"good",0.12
"illegal",0.12
"know",0.12
"locals",0.12
"long",0.12
"money",0.12
"mostly",0.12
"night",0.12
"offer",0.12
"official",0.12
"parts",0.12
"places",0.12
"police",0.12
"political",0.12
"price",0.12
"rarely",0.12
"roads",0.12
"safe",0.12
"smaller",0.12
"unless",0.12
"want",0.12
"wear",0.12
"well",0.12
"young",0.12
"accept",0.11
"another",0.11
"anywhere",0.11
"bars",0.11
"become",0.11
"buy",0.11
"card",0.11
"caution",0.11
"charge",0.11
"companies",0.11
"compared",0.11
"currency",0.11
"dangerous",0.11
"different",0.11
"dishes",0.11
"drink",0.11
"either",0.11
"exchange",0.11
"extra",0.11
"extremely",0.11
"foreigners",0.11
"found",0.11
"hard",0.11
"heavy",0.11
"higher",0.11
"idea",0.11
"instead",0.11
"likely",0.11
"means",0.11
"mind",0.11
"must",0.11
"need",0.11
"normally",0.11
"number",0.11
"passport",0.11
"plan",0.11
"problem",0.11
"rather",0.11
"regions",0.11
"relatively",0.11
"similar",0.11
"spoken",0.11
"throughout",0.11
"time",0.11
"tourists",0.11
"travel",0.11
"used",0.11
"violent",0.11
"visa",0.11
"work",0.11
"worth",0.11
"'re",0.1
"accepted",0.1
"advised",0.1
"also",0.1
"anything",0.1
"around",0.1
"beer",0.1
