"","fees"
"apply",0.12
"pay",0.11
"charged",0.1
"required",0.1
"charge",0.09
"entry",0.09
"fee",0.09
"obtain",0.09
"paid",0.09
"visa",0.09
"additional",0.08
"atms",0.08
"avoid",0.08
"card",0.08
"cards",0.08
"cash",0.08
"chartered",0.08
"currency",0.08
"exceptions",0.08
"insurance",0.08
"money",0.08
"tipping",0.08
"unless",0.08
"visas",0.08
"accept",0.07
"credit",0.07
"driver",0.07
"drivers",0.07
"equipment",0.07
"exchange",0.07
"must",0.07
"passport",0.07
"paying",0.07
"payment",0.07
"regardless",0.07
