"","commonly"
"common",0.12
"eaten",0.12
"languages",0.11
"referred",0.11
"spoken",0.11
"consumed",0.1
"generally",0.1
"often",0.1
"used",0.1
"always",0.09
"areas",0.09
"avoid",0.09
"aware",0.09
"carriers",0.09
"currency",0.09
"known",0.09
"language",0.09
"prepaid",0.09
"rarely",0.09
"widely",0.09
"considered",0.08
"countries",0.08
"discuss",0.08
"dish",0.08
"drivers",0.08
"emergency",0.08
"especially",0.08
"foreign",0.08
"illegal",0.08
"police",0.08
"regions",0.08
"sometimes",0.08
"tend",0.08
"usually",0.08
"visa",0.08
"visas",0.08
"carry",0.07
"cheaper",0.07
"due",0.07
"english",0.07
"even",0.07
"exceptions",0.07
"found",0.07
"insist",0.07
"mobile",0.07
"money",0.07
"parts",0.07
"passport",0.07
"problem",0.07
"require",0.07
"speak",0.07
"sweet",0.07
"thus",0.07
"tipping",0.07
"violent",0.07
