"","care"
"emergency",0.15
"hospitals",0.15
"health",0.14
"hospital",0.14
"medical",0.14
"taken",0.13
"avoid",0.11
"money",0.11
"aware",0.1
"cards",0.1
"common",0.1
"countries",0.1
"especially",0.1
"illegal",0.1
"insurance",0.1
"police",0.1
"safe",0.1
"unless",0.1
"without",0.1
"accept",0.09
"always",0.09
"card",0.09
"citizens",0.09
"currency",0.09
"keep",0.09
"law",0.09
"legal",0.09
"make",0.09
"must",0.09
"often",0.09
"passport",0.09
"pay",0.09
"respect",0.09
"sometimes",0.09
"sure",0.09
"tipping",0.09
"valid",0.09
"visa",0.09
"accepted",0.08
"assistance",0.08
"bring",0.08
"carry",0.08
"case",0.08
"cause",0.08
"consider",0.08
"credit",0.08
"drivers",0.08
"driving",0.08
"embassy",0.08
"even",0.08
"exchange",0.08
"expensive",0.08
"extremely",0.08
"finger",0.08
"foreign",0.08
"generally",0.08
"government",0.08
"issue",0.08
"know",0.08
"may",0.08
"mobile",0.08
"much",0.08
"need",0.08
"note",0.08
"offer",0.08
"offices",0.08
"prepaid",0.08
"provide",0.08
"purchase",0.08
"require",0.08
"required",0.08
"risk",0.08
"save",0.08
"serious",0.08
"strong",0.08
"tend",0.08
"use",0.08
"usually",0.08
"valuables",0.08
"visas",0.08
"warm",0.08
"wear",0.08
"work",0.08
"able",0.07
"apply",0.07
"areas",0.07
"ask",0.07
"careful",0.07
"caution",0.07
"certain",0.07
"dangerous",0.07
"drugs",0.07
"expect",0.07
"extra",0.07
"hard",0.07
"highly",0.07
"less",0.07
"like",0.07
"might",0.07
"numbers",0.07
"others",0.07
"paying",0.07
"phones",0.07
"quite",0.07
"rate",0.07
"remember",0.07
"roads",0.07
"saving",0.07
"skin",0.07
"tap",0.07
"using",0.07
"vary",0.07
"weather",0.07
"widely",0.07
